Fixed time
Elapsed: 0.00000048 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000024 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000095 seconds

Elapsed: 0.00000095 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000095 seconds

Elapsed: 0.00000095 seconds

Elapsed: 0.00000095 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000072 seconds

Elapsed: 0.00000048 seconds

Elapsed: 0.00000048 seconds
